Source;Target;Id;duplicate;UMich;ASU;IUB;IUPUI;Dist2Air;MASS;Seats0Stop;Seats1Stop;Seats2Stop;Seats3Stop;Lines0Stop;Lines1Stop;Lines2Stop;Lines3Stop;GeoDist;CollabPaperCount;institution;NLink;cosine
n0;n1;e5175;1;1;;;;8.123629149;23921;0;1063.381321;5345.022704;159245.6827;0;5.477225575;28.46461627;185.1520794;4654.444716;56;1;1;0.837911444
n0;n2;e237;1;1;;;;4.31870234;23331;656.3333333;4276.323345;12503.79321;421783.2884;4;27.19482701;77.61121645;390.3604171;1645.505226;276;1;0;0.926507654
n0;n3;e231;1;1;;;;31.18677511;105411;416;4565.530345;14210.81394;753177.1035;1;16.68438714;56.54452367;360.2543102;6592.943828;561;1;0;0.863464763
n0;n4;e776;1;1;;;;40.14508691;12521;131.3333333;2431.253906;8187.683263;234287.4293;1;18.1464282;57.01735808;288.0325902;259.9816192;186;1;0;0.750977287
n0;n5;e2;1;1;;;;11.13629038;17553;0;735.2448572;3798.419387;125878.8413;0;3.872983346;20.69700416;145.4934817;4576.999356;45;1;1;0.765972138
n0;n6;e176;1;1;;;;4.595854898;45976;560.4166667;3992.491704;12652.83029;489061.2641;2;18.43167673;60.32160012;355.3890336;3943.651355;268;1;0;0.985857682
n0;n7;e137;1;1;;;;10.16726191;34364;148;2931.076544;9548.972491;275987.568;1;20.15724406;62.13417773;312.9528527;506.0066132;1383;1;0;0.974726251
n0;n8;e1368;1;1;;;;8.402294581;22266;131.3333333;2431.253906;8187.683263;234287.4293;1;18.1464282;57.01735808;288.0325902;214.1424399;374;1;0;0.92981651
n0;n9;e5;1;1;;;;5.935679763;9347;120;1314.830323;5071.696261;155319.8555;1;10.38083152;36.5230502;200.4681419;590.7487195;77;1;0;0.766874942
n0;n10;e298;1;1;;;;8.889912284;71624;0;3766.666018;12341.05152;513838.9879;0;18.54723699;61.37237871;359.1542177;3989.931594;302;1;1;0.941335013
n0;n11;e7;1;1;;;;34.02049906;15438;120;1641.838033;5987.398116;177667.6028;1;12.70469991;42.48306656;226.238079;505.654583;110;1;0;0.617267598
n0;n12;e8;1;1;;;;5.196791749;57997;0;1876.701361;8545.746926;374163.9622;0;6.708203932;32.04705699;215.6130767;9444.418896;232;1;1;0.970115836
n0;n13;e9;1;1;;;;6.963075537;91163;545;4405.207189;12636.7254;418708.6852;4;29.23885893;79.79504904;396.9980281;472.1436578;1537;1;0;0.973540909
n0;n14;e10;1;1;;;;5.115041474;11060;0;1097.160378;4526.214338;149599.478;0;8.246211251;32.3407458;184.9938545;818.7172214;159;1;1;0.645414129
n0;n15;e1205;1;1;;;;6.592484912;12232;0;838.7088291;3752.811873;128441.3874;0;6.403124237;26.84735098;160.7903973;915.7580881;86;1;1;0.826161165
n0;n16;e2131;1;1;;;;15.16353522;11039;131.3333333;2419.381455;8140.511379;235048.3261;1;17.70329309;56.12473294;284.7252102;608.0392924;223;1;0;0.944555724
n0;n17;e2137;1;1;;;;6.331103609;24367;282;2731.974385;8891.15896;247074.8337;2;20.30300522;61.16432529;300.7690419;452.4020773;370;1;0;0.973054896
n0;n18;e18;1;1;;;;34.16208689;20492;0;0;1127.629652;10128.84708;0;0;6.603854498;60.46680122;3941.790456;81;1;2;0.935027545
n0;n19;e19;1;1;;;;8.662715059;19550;0;659.7120584;3620.175585;120219.6831;0;3.605551275;20.38233326;143.9218406;4309.689296;49;1;1;0.925581028
n0;n20;e21;1;1;;;;2.66128528;201693;395.6666667;4513.244613;13192.69735;465287.3063;3;28.45584412;79.68891805;402.6861279;647.7704961;3433;1;0;0.992873616
n0;n21;e22;1;1;;;;9.753793378;24324;124;944.0827397;3829.620163;127159.1911;1;7.08276253;27.4782248;156.9210289;489.4254992;313;1;0;0.59474868
n0;n22;e27;1;1;;;;11.19687462;94661;183;5265.889715;15258.12174;723397.9467;1;27.4952826;80.97170392;445.8054449;2051.452814;1655;1;0;0.982574273
n0;n23;e30;1;1;;;;10.20936889;25010;1133.333333;8396.300367;21113.46368;1535854.873;9;50.44876355;122.4332638;805.0838899;522.9347472;2819;1;0;0.94092373
n0;n24;e32;1;1;;;;8.565274833;74546;386;3224.245205;9870.781672;284085.8062;3;22.94993734;66.46369527;322.1860519;426.6302432;1363;1;0;0.970001006
n0;n25;e33;1;1;;;;12.42327216;40829;258;2796.304265;9027.132913;255398.4821;2;20.86796226;62.64913706;310.1775356;422.5990084;705;1;0;0.960007296
n0;n26;e34;1;1;;;;14.15638601;137876;851.25;5652.833877;16032.99883;777145.1721;3;25.71563338;75.41975259;426.6124843;3961.476112;690;1;0;0.982338168
n0;n27;e36;1;1;;;;13.20979734;26321;0;1926.330282;7237.498271;216261.4286;0;12.56980509;45.70758229;246.5888106;1998.568964;400;1;1;0.797921719
n0;n28;e38;1;1;;;;15.4440948;103052;881;6694.423484;17474.86202;876899.6512;7;43.0970913;107.9588884;617.3497567;201.0273095;1982;1;0;0.986669151
n0;n29;e39;1;1;;;;7.566735666;5914;0;807.9990718;3595.604079;125839.4651;0;6.32455532;26.34453535;156.363654;615.795996;72;1;1;0.904826491
n0;n30;e757;1;1;;;;3.156590693;123;0;418.3300133;2391.041827;90313.168;0;3.31662479;16.47638902;110.3905385;1064.214905;174;1;1;0.346590439
n0;n31;e42;1;1;;;;18.32642206;22298;120;1246.489089;4805.510342;150392.5088;1;9.660254038;34.46405158;191.586262;401.7222983;313;1;0;0.952087064
n0;n32;e43;1;1;;;;7.937986137;31269;0;561.1761458;2789.755892;104258.157;0;4.358898944;19.66377159;126.0843934;454.9231888;441;1;1;0.872150687
n0;n34;e45;1;1;;;;9.659220668;25381;120;2543.053772;8505.881401;241999.0845;1;19.16590212;59.07841927;297.7158062;222.8989147;396;1;0;0.978985719
n0;n35;e46;1;1;;;;19.49501564;161707;611;5327.451032;14722.30137;569805.5028;5;34.35983651;90.6697677;467.9617632;416.3030246;2534;1;0;0.977915955
n0;n36;e47;1;1;;;;6.55000277;3499;0;868.5867832;3781.058586;131993.0174;0;6.557438524;26.90148615;161.7520724;868.5035158;19;1;1;0.905567157
n0;n38;e79;1;1;;;;6.555534546;17842;125;2163.521165;7480.183681;214353.1146;1;16.32970972;52.62739567;269.6025782;217.6681127;255;1;0;0.977885712
n0;n39;e80;1;1;;;;28.82568567;1491;0;783.7238034;3553.885418;125425.4245;0;5.916079783;25.2669029;154.2145776;1076.396596;23;1;1;0.866057383
n0;n40;e83;1;1;;;;14.4580513;25012;0;517.4127946;3337.981872;104791.6974;0;2.828427125;18.39078432;134.4183816;3934.959089;137;1;1;0.986886379
n0;n41;e85;1;1;;;;9.21335951;46028;0;2999.818481;10849.96045;418142.2446;0;13.60147051;50.69885216;315.2290554;4345.693318;189;1;1;0.985571535
n0;n42;e87;1;1;;;;8.905045397;17740;0;0;998.3812121;30893.05528;0;0;5.229321532;50.94982732;3976.407559;122;1;2;0.989920287
n0;n43;e92;1;1;;;;7.0313435;46001;184.1111111;3634.193318;11138.22609;349925.638;1;24.3023604;71.55779775;361.3477728;510.6778724;626;1;0;0.969135812
n0;n44;e98;1;1;;;;4.270820737;11732;0;2645.170826;9627.907563;348023.3137;0;11.87434209;45.32902202;261.5311979;4444.639329;139;1;1;0.679552028
n0;n45;e99;1;1;;;;8.105389575;39287;424.6666667;3514.891914;10772.73982;316314.4492;2;21.33907961;64.57270968;322.2953282;1932.888629;742;1;0;0.935201216
n0;n46;e2633;1;1;;;;8.101882155;37766;0;2305.163639;8823.413158;289635.0183;0;10.86278049;43.28175023;270.7439375;4098.3556;219;1;1;0.990606273
n0;n47;e1768;1;1;;;;4.937837506;12771;279;3277.996731;10205.10308;318510.321;2;23.77154106;68.85172731;342.6452137;993.0861486;232;1;0;0.964346576
n0;n48;e195;1;1;;;;6.373762525;34008;120;2406.11931;8230.443391;234194.4802;1;18.29161647;57.50543223;290.2810814;164.9261068;591;1;0;0.9811581
n0;n49;e243;1;1;;;;15.56782017;72002;394;4587.348433;13177.49881;467789.5492;3;28.33771892;79.74405888;408.3035207;1079.488943;946;1;0;0.938979353
n0;n50;e1008;1;1;;;;13.97319461;18980;0;1532.320367;6323.650148;203135.5299;0;8.426149773;35.0693757;223.5775666;4235.778397;49;1;1;0.958038968
n0;n52;e112;1;1;;;;16.29582886;24591;522;5330.612592;14705.74753;628780.4037;4;32.42534081;87.8683741;463.2035488;968.5543458;576;1;0;0.950302693
n0;n53;e115;1;1;;;;12.06940222;104059;491;6431.394591;17642.35447;1056785.237;3;35.66496594;97.3665321;585.8426715;1943.178572;2124;1;0;0.960163423
n0;n54;e117;1;1;;;;39.37619054;7304;0;951.5705439;4675.146039;148919.0376;0;5.196152423;26.01469481;172.2467331;4154.715077;19;1;1;0.73034638
n0;n55;e121;1;1;;;;7.723839274;33246;0;0;449.2150266;2693.724554;0;0;2.410142264;14.38002846;6501.876872;86;1;2;0.862115927
n0;n56;e122;1;1;;;;7.47991947;21303;0;1163.757707;4844.680605;152621.4956;0;9.16515139;34.47958019;195.6473978;404.4136003;343;1;1;0.994685217
n0;n57;e2639;1;1;;;;7.140192921;14253;0;1047.207159;4662.223962;148554.8273;0;5.477225575;25.21377038;164.0064163;4608.600021;7;1;1;0.800845322
n0;n58;e3306;1;1;;;;2.373550842;7713;0;270.7766607;1659.184381;71965.35266;0;2.236067977;11.76047429;82.8567458;269.5462351;65;1;1;0.820783986
n0;n59;e1202;1;1;;;;1.95874154;9558;0;0;523.9150929;3361.816528;0;0;5.506878446;31.33511256;1283.308382;134;1;2;0.418489527
