Id,Label,Lat,Lng,Country,airportID,Mass,Dist2Air
n0,Ann Arbor MI United States,42.2821006775,-83.7484664917,United States,3645,53895.0,20.770995013319393
n8,Indianapolis IN United States,39.766910553,-86.1499633789,United States,3585,22266.0,8.402294581177816
n2,Tempe AZ United States,33.4255104065,-111.937423706,United States,3462,23331.0,4.318702339924671
n4,Bloomington IN United States,39.1665916443,-86.5342407227,United States,3585,12521.0,40.14508691100877
n20,Boston MA United States,42.3586616516,-71.0567398071,United States,3448,201693.0,2.6612852804763323
n23,New York NY United States,40.7820014954,-73.831703186,United States,3797,25010.0,10.209368886559474
n28,Chicago IL United States,41.8842506409,-87.6324462891,United States,3830,103052.0,15.444094799482226
n24,Baltimore MD United States,39.2905807495,-76.6092605591,United States,3849,74546.0,8.56527483259585
n53,Los Angeles CA United States,34.0534896851,-118.245323181,United States,3484,104059.0,12.069402221117858
n13,Philadelphia PA United States,39.9691505432,-75.2064437866,United States,3752,91163.0,6.963075536652132
n98,Seattle WA United States,47.6035690308,-122.329452515,United States,3577,60069.0,10.720455737614746
n97,Beijing Beijing China,39.9065704346,116.387649536,China,3364,133510.0,15.88666479929897
n49,Houston TX United States,29.7604503632,-95.3697814941,United States,3550,72002.0,15.567820167362433
n104,Pittsburgh PA United States,40.4383392334,-79.997467041,United States,3570,53469.0,12.906753768404663
n35,Bethesda MD United States,38.9863700867,-77.0969161987,United States,3714,161707.0,19.49501564152531
n76,Atlanta GA United States,33.7483100891,-84.3911132813,United States,3682,60804.0,7.997123869945711
n77,Detroit MI United States,42.3316802979,-83.047996521,United States,113,23229.0,6.111287718483693
n142,London England United Kingdom,51.5064201355,-0.1272100061,United Kingdom,507,197469.0,14.513602516381106
n25,St Louis MO United States,38.6277503967,-90.1995620728,United States,3678,40829.0,12.4232721614162
n7,Durham NC United States,35.9954185486,-78.8964385986,United States,3626,34364.0,10.167261906393776
n22,San Francisco CA United States,37.7771186829,-122.419639587,United States,3469,94661.0,11.196874620903067
n153,Toronto ON Canada,43.6573982239,-79.432800293,Canada,193,76836.0,9.977699322327492
n48,Columbus OH United States,39.9619903564,-83.002746582,United States,3759,34008.0,6.37376252521742
n91,West Lafayette IN United States,40.4310417175,-86.9136505127,United States,3585,19552.0,59.18906036370727
n119,Cleveland OH United States,41.5047492981,-81.6907196045,United States,3486,41485.0,10.44899877191131
n245,New Haven CT United States,41.3076210022,-72.924621582,United States,4006,37035.0,3.611311314029024
n80,East Lansing MI United States,42.7374992371,-84.4837799072,United States,3544,19284.0,5.975769550620605
n261,Tucson AZ United States,32.2215499878,-110.96975708,United States,3636,24501.0,7.477914051503329
n26,Paris IdF France,48.8521232605,2.3564190865,France,1382,137876.0,14.156386012674206
n156,Shanghai  China,31.2241458893,121.516136169,China,3406,68939.0,17.974726340248004
n86,Santa Clara Co. CA United States,37.4296302795,-122.164772034,United States,3748,55292.0,13.743821090514853
n157,Madison WI United States,43.0424690247,-89.403968811,United States,3459,40192.0,7.517725939075504
n43,Minneapolis MN United States,44.9790306091,-93.2649307251,United States,3858,46001.0,7.031343499772781
n3,Seoul Seoul South Korea,37.5150184631,127.016471863,South Korea,3930,105411.0,31.186775109620324
n45,La Jolla CA United States,32.8370475769,-117.255386353,United States,3731,39287.0,8.105389575172419
n34,Cincinnati OH United States,39.1071281433,-84.5041275024,United States,3488,25381.0,9.65922066815872
n32,Rochester MN United States,44.0193481445,-92.4591522217,United States,4048,31269.0,7.937986137218989
n52,Dallas TX United States,32.7781486511,-96.7954025269,United States,3670,24591.0,16.29582886326878
n75,Gainesville FL United States,29.6519508362,-82.3231811523,United States,3472,33200.0,4.05624326436076
n188,Montreal QC Canada,45.51720047,-73.5498962402,Canada,146,62122.0,9.792732370573146
n149,Tokyo Tokyo Japan,35.6832084656,139.808944702,Japan,2279,141790.0,32.87476769052889
n291,Rome Laz. Italy,41.903049469,12.4958000183,Italy,1555,58574.0,14.330085335532967
n89,Rochester NY United States,43.1557998657,-77.616317749,United States,3622,19425.0,3.8082572747144154
n17,Nashville TN United States,36.1678390503,-86.7781600952,United States,3690,24367.0,6.331103609039423
n113,Oxford England United Kingdom,51.7471008301,-1.2568700314,United Kingdom,507,50482.0,38.880749579574655
n324,Birmingham AL United States,33.5206794739,-86.8117599487,United States,3811,20156.0,4.445456664805301
n144,Ithaca NY United States,42.4405097961,-76.4954605103,United States,3947,23424.0,3.967550982329307
n193,Urbana IL United States,40.1287918091,-88.2220535278,United States,4049,28495.0,6.8582559104826695
n6,Amsterdam North Holland Netherlands,52.3306999207,4.8665399551,Netherlands,580,45976.0,4.595854898173293
n110,Boulder CO United States,40.0157394409,-105.279243469,United States,3751,20566.0,33.824260196054816
n92,Moscow Moscow City Russia,55.7569694519,37.615020752,Russia,4029,94371.0,26.617373235702512
n107,Geneva GE Switzerland,46.2000999451,6.1673002243,Switzerland,1665,23072.0,3.828871878989578
n162,Cambridge England United Kingdom,52.2284011841,0.1118500009,United Kingdom,508,53061.0,51.765759010036795
n108,Vancouver BC Canada,49.2811012268,-123.043998718,Canada,156,44488.0,8.74333803117243
n64,Salt Lake City UT United States,40.7603111267,-111.888221741,United States,3536,21938.0,5.071074253615703
n134,Barcelona Catalonia Spain,41.387298584,2.1686398983,Spain,1218,58014.0,7.793193169676775
n908,Pisa Tosc. Italy,43.7366981506,10.3984003067,Italy,1562,16845.0,3.6575512731693514
n31,Iowa City IA United States,41.6578216553,-91.5265274048,United States,4043,22298.0,18.326422062433554
n161,University Park PA United States,40.7995681763,-77.8606872559,United States,4318,26047.0,3.4912204163886824
n62,Stockholm Stockholm County Sweden,59.3525009155,18.0326004028,Sweden,737,46737.0,21.07106027803109
n56,Charlottesville VA United States,38.0321311951,-78.4775314331,United States,4015,21303.0,7.479919470079359
n327,San Antonio TX United States,29.4245796204,-98.4946136475,United States,3621,19047.0,7.68527573425149
