id, name, Metro_name, latitude, longitude, mergeList, totalDegree
5714,Aberdeen Regional Airport,10100,45.4491,-98.4218,5714|,240.0
3718,Abilene Rgnl,10180,32.411319,-99.681897,3718|3695|,480.0
2885,Rafael Hernandez,10380,18.494861,-67.129444,2885|,1208.0
4112,Akron Canton Regional Airport,10420,40.916083,-81.442194,4112|3587|8705|,5186.0
5715,Southwest Georgia Regional Airport,10500,31.5355,-84.1945,5715|,960.0
3864,Albany Intl,10580,42.748267,-73.801692,3864|6968|8900|9179|9180|,7021.0
4019,Albuquerque International Sunport,10740,35.040222,-106.609194,4019|3529|9438|,10909.3333358765
3852,Alexandria Intl,10780,31.3274,-92.549833,3852|3634|,1440.0
4355,Lehigh Valley Intl,10900,40.652083,-75.440806,4355|9452|,3140.0
5720,Alpena County Regional Airport,10980,45.0781,-83.5603,5720|,480.0
3694,Altoona Blair Co,11020,40.296372,-78.320022,3694|,480.0
3840,Rick Husband Amarillo Intl,11100,35.219369,-101.705931,3840|,2276.3333435059
3774,Ted Stevens Anchorage Intl,11260,61.174361,-149.996361,3774|3422|3438|3569|3692|4004|7770|8051|9029|9030|,15283.6666259766
4007,Asheville Regional Airport,11700,35.436194,-82.541806,4007|,2940.0
5716,Athens Ben Epps Airport,12020,33.9486,-83.3263,5716|,80.0
3682,Hartsfield Jackson Atlanta Intl,12060,33.636719,-84.428067,3682|3666|7497|7654|7712|7847|8291|8292|8297|8300|8306|8307|8309|8321|8369|8512|8513|8601|8805|9066|,267681.142028809
3524,Atlantic City Intl,12100,39.457583,-74.577167,3524|8724|,2594.0
3658,Augusta Rgnl At Bush Fld,12260,33.369944,-81.9645,3658|8318|8514|8515|9416|,1653.3333129883
3701,Augusta State,12300,44.320647,-69.797317,3701|,80.0
3673,Austin Bergstrom Intl,12420,30.194528,-97.669889,3673|4385|8811|,23517.0666885376
3558,Meadows Fld,12540,35.433598,-119.05677,3558|3490|3512|7026|7120|7851|,1120.0
3849,Baltimore Washington Intl,12580,39.175361,-76.668333,3849|3489|3772|6452|6965|8411|8470|8552|8935|9183|,38756.5665893555
3463,Bangor Intl,12620,44.807444,-68.828139,3463|3551|,2040.0
4278,Barnstable Muni Boardman Polando Fld,12700,41.669336,-70.280356,4278|6456|3725|,200.0
3846,Baton Rouge Metro Ryan Fld,12940,30.533167,-91.149639,3846|,1930.0
3612,Southeast Texas Rgnl,13140,29.950833,-94.020694,3612|9190|,480.0
3777,Bellingham Intl,13380,48.792694,-122.537528,3777|6864|7956|,2660.0
4287,Bemidji Regional Airport,13420,47.510722,-94.934722,4287|,240.0
4103,Roberts Fld,13460,44.254066,-121.149964,4103|8133|,1680.0
4021,Billings Logan International Airport,13740,45.80921,-108.537654,4021|,2186.0
4129,Greater Binghamton Edwin A Link Fld,13780,42.208689,-75.979839,4129|9419|9453|,960.0
3811,Birmingham Intl,13820,33.562942,-86.75355,3811|8394|9428|,8816.0
4083,Bismarck Municipal Airport,13900,46.775842,-100.757931,4083|,1508.0
4037,Central Illinois Rgnl,14010,40.477111,-88.915917,4037|,2956.0
3495,Boise Air Terminal,14260,43.564361,-116.222861,3495|,5215.0
3448,General Edward Lawrence Logan Intl,14460,42.364347,-71.005181,3448|4011|5763|3425|7966|8277|8280|8285|8288|8658|9049|9333|9334|9335|9336|9337|9344|9352|9396|,68312.6071777344
4020,Gallatin Field,14580,45.777643,-111.160151,4020|7072|,1978.0
6957,Brainerd Lakes Rgnl,14660,46.398308,-94.138078,6957|,480.0
3560,Valley Intl,15180,26.2285,-97.654389,3560|3738|,1750.6666870117
3820,Buffalo Niagara Intl,15380,42.940525,-78.732167,3820|3630|8415|8546|9052|9081|9432|,9096.9332885742
3711,Burlington Intl,15540,44.471861,-73.153278,3711|,3240.0
4022,Bert Mooney Airport,15580,45.954806,-112.497472,4022|,240.0
3793,Southwest Florida Intl,15980,26.536167,-81.755167,3793|3549|,18083.6664733887
6825,Williamson Country Regional Airport,16060,37.754957,-89.011094,6825|,80.0
3872,Natrona Co Intl,16220,42.908,-106.464417,3872|,720.0
3824,Cedar City Rgnl,16260,37.700967,-113.098847,3824|,240.0
4043,Cedar Rapids,16300,41.884694,-91.710806,4043|,4272.0
4049,Champaign,16580,40.03925,-88.278056,4049|7887|9306|,960.0
4285,Yeager,16620,38.373147,-81.593189,4285|,2542.0
