id,name,city,country,IATA_FFA,CIAO,Latitude,longitude,totalDegre,ID_metro,affil_ID,Lat_met,Lon_met
5714,Aberdeen Regional Airport,Aberdeen,United States,ABR,KABR,45.4491,-98.4218,240,10100,"No State Univ, Dept Sport Marketing & Adm, Aberdeen, SD USA,45.4590911865,-98.4873199463,Aberdeen SD United States,1,5597,1|,Aberdeen SD United States|",45.459091,-98.48732
3718,Abilene Rgnl,Abilene,United States,ABI,KABI,32.411319,-99.681897,480,10180,"Abilene Christian Univ, Abilene, TX 79699 USA,32.4491691589,-99.7414169312,Abilene TX United States,6,1207,6|,Abilene TX United States|",32.449169,-99.741417
2885,Rafael Hernandez,Aguadilla,Puerto Rico,BQN,TJBQ,18.494861,-67.129444,1208,10380,"Univ Puerto Rico, Aguadilla, PR 00604 USA,18.4346008301,-67.1551895142,Aguadilla PR USA,1,6334,1|,Aguadilla PR USA|",18.434601,-67.15519
4112,Akron Canton Regional Airport,Akron,United States,CAK,KCAK,40.916083,-81.442194,5186,10420,"Kent State Univ, Dept Psychol, Kent, OH 44242 USA,41.1509284973,-81.3582229614,Kent OH United States,350,328|429|1130|1188|2214|4702|5793,158|143|21|20|6|1|1|,Kent OH United States|Akron OH United States|Rootstown OH United States|Hiram OH United States|",41.150928,-81.358223
5715,Southwest Georgia Regional Airport,Albany,United States,ABY,KABY,31.5355,-84.1945,960,10500,"Emory Univ Hosp, Dept Thorac Surg, Ne Atlanta, GA 30308 USA,31.78647995,-84.4424972534,Ne Atlanta GA USA,1,4856|6660,1|0|,Ne Atlanta GA USA|Dawson GA United States|",31.78648,-84.442497
3864,Albany Intl,Albany,United States,ALB,KALB,42.748267,-73.801692,7021,10580,"SUNY Albany, Dept Phys, Albany, NY 12222 USA,42.651550293,-73.7552108765,Albany NY United States,618,227|275|843|884|984|1015|1839|2636|4663|5077|6734,238|267|21|34|22|26|6|2|1|1|0|,Troy NY United States|Albany NY United States|Schenectady NY United Stat",42.65155,-73.755211
4019,Albuquerque International Sunport,Albuquerque,United States,ABQ,KABQ,35.040222,-106.609194,10909.333336,10740,"Sandia Natl Labs, Albuquerque, NM 87123 USA,35.0841789246,-106.648643494,Albuquerque NM United States,882,86|1067|2085|5734|6466,845|28|7|1|1|,Albuquerque NM United States|Kirtland AFB NM USA|Los Lunas NM USA|Rio Rancho NM United States|Jemez Springs NM",35.084179,-106.648643
3852,Alexandria Intl,Alexandria,United States,AEX,KAEX,31.3274,-92.549833,1440,10780,"Christus St Frances Cabrini Hosp, Alexandria, LA USA,31.3126602173,-92.4456787109,Alexandria LA United States,2,3541,2|,Alexandria LA United States|",31.31266,-92.445679
4355,Lehigh Valley Intl,Allentown,United States,ABE,KABE,40.652083,-75.440806,3140,10900,"St Lukes Canc Ctr, Bethlehem, PA USA,40.6310195923,-75.3777770996,Bethlehem PA United States,69,985|1046|1371|2682|3835|4577|4788,30|17|15|3|2|1|1|,Bethlehem PA United States|Allentown PA United States|Easton PA United States|Lehigh PA USA|Hackettstown N",40.63102,-75.377777
5720,Alpena County Regional Airport,Alpena,United States,APN,KAPN,45.0781,-83.5603,480,10980,"Norheast Michigan Med Control Author, Alpena, MI USA,45.0615615845,-83.4451522827,Alpena MI USA,3,2719,3|,Alpena MI USA|",45.061562,-83.445152
3694,Altoona Blair Co,Altoona,United States,AOO,KAOO,40.296372,-78.320022,480,11020,"Penn State Altoona, Dept Math & Stat, Altoona, PA 16601 USA,40.5071907043,-78.3989028931,Altoona PA United States,5,2735|5114,4|1|,Altoona PA United States|Duncansville PA United States|",40.507191,-78.398903
3840,Rick Husband Amarillo Intl,Amarillo,United States,AMA,KAMA,35.219369,-101.705931,2276.333344,11100,"Texas Tech Hlth Sci Ctr, Div Geriatr, Associate Fac Sch Med, Amarillo, TX USA,35.2072486877,-101.833892822,Amarillo TX United States,11,1756|6515,10|1|,Amarillo TX United States|Canyon TX United States|",35.207249,-101.833893
