"Rowid_","ID","YEAR","FULL_ADDRE","CITY","STATE","COUNTRY","LATITUDE","LONGITUDE","Join_id","String","CHECK","AFFILIAT_0","AFFILIAT1","UPDATETAG","State","US_county_id","US_county_name","US_metro_id","US_metro_name","Other_metro","Europe_NUTS_3_rev"
1,"WOS:000310364400255",2012,"Univ Michigan, Sch Dent, Ann Arbor, MI 48109 USA","Ann Arbor","MI","USA",42.2821006775,-83.7484664917,11460,"Ann Arbor MI United States","old mapped address",152843,153197,0,"Michigan",1623021,"Washtenaw County",11460,"Ann Arbor, MI Metro Area"," "," "
2,"WOS:000208621501701",2009,"Indiana Univ Sch Med, Dept Cellular & Integrat Physiol, Indianapolis, IN USA","Indianapolis","IN","USA",39.766910553,-86.1499633789,26900,"Indianapolis IN United States","old mapped address",50430,50447,0,"Indiana",450371,"Marion County",26900,"Indianapolis-Carmel-Anderson, IN Metro Area"," "," "
3,"WOS:000315444100006",2010,"Arizona State Univ, Sch Engn Matter Transport & Energy, Tempe, AZ 85287 USA","Tempe","AZ","USA",33.4255104065,-111.937423706,38060,"Tempe AZ United States","old mapped address",31850,31884,0,"Arizona",37026,"Maricopa County",38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area"," "," "
4,"WOS:000302247800012",2012,"Indiana Univ, Dept Kinesiol, Bloomington, IN 47405 USA","Bloomington","IN","USA",39.1665916443,-86.5342407227,14020,"Bloomington IN United States","old mapped address",22857,23063,0,"Indiana",451680,"Monroe County",14020,"Bloomington, IN Metro Area"," "," "
5,"WOS:000298143000018",2012,"Harvard Univ, Sch Publ Hlth, Ctr Hlth Decis Sci, Boston, MA 02115 USA","Boston","MA","USA",42.3586616516,-71.0567398071,14460,"Boston MA United States","old mapped address",9638,9972,0,"Massachusetts",606939,"Suffolk County",14460,"Boston-Cambridge-Newton, MA-NH Metro Area"," "," "
6,"WOS:000279929100004",2010,"Mem Sloan Kettering Canc Ctr, New York, NY USA","New York","NY","USA",40.7820014954,-73.831703186,35620,"New York NY United States","old mapped address",6258,6583,0,"New York",974139,"Queens County",35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"," "," "
7,"WOS:000275814500044",2010,"Northwestern Univ, Ctr Canc, Chicago, IL 60611 USA","Chicago","IL","USA",41.8842506409,-87.6324462891,16980,"Chicago IL United States","old mapped address",5637,6119,0,"Illinois",1784766,"Cook County",16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area"," "," "
8,"WOS:000286372700008",2011,"Johns Hopkins Sch Med, Dept Med, Baltimore, MD USA","Baltimore","MD","USA",39.2905807495,-76.6092605591,12580,"Baltimore MD United States","old mapped address",4776,4936,0,"Maryland",1702381,"Baltimore city",12580,"Baltimore-Columbia-Towson, MD Metro Area"," "," "
9,"WOS:000260261100020",2008,"Univ Calif Los Angeles, Dept Med, Los Angeles, CA 90024 USA","Los Angeles","CA","USA",34.0534896851,-118.245323181,31080,"Los Angeles CA United States","old mapped address",4814,4935,0,"California",277283,"Los Angeles County",31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area"," "," "
10,"WOS:000275312300020",2010,"Fox Chase Canc Ctr, Philadelphia, PA 19111 USA","Philadelphia","PA","USA",39.9691505432,-75.2064437866,37980,"Philadelphia PA United States","old manual",4132,4312,0,"Pennsylvania",1209187,"Philadelphia County",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"," "," "
11,"WOS:000278489800007",2010,"Fred Hutchinson Canc Res Ctr, Div Publ Hlth Sci, Seattle, WA 98104 USA","Seattle","WA","USA",47.6035690308,-122.329452515,42660,"Seattle WA United States","old mapped address",4065,4338,0,"Washington",1531933,"King County",42660,"Seattle-Tacoma-Bellevue, WA Metro Area"," "," "
12,"WOS:000295752800516",2011,"Millennium Pharmaceut Inc, Clin Res, Cambridge, MA USA","Cambridge","MA","USA",42.3667907715,-71.106010437,14460,"Cambridge MA United States","old mapped address",3769,4043,0,"Massachusetts",606935,"Middlesex County",14460,"Boston-Cambridge-Newton, MA-NH Metro Area"," "," "
13,"WOS:000292209200017",2011,"Chinese Acad Sci, Grad Sch, Beijing 200049, Peoples R China","Beijing"," ","Peoples R China",39.9065704346,116.387649536,"Beijing China","Beijing Beijing China","old mapped address",3158,3210,0," "," "," "," "," ","Beijing China"," "
14,"WOS:000295578002724",2011,"Baylor Coll Med, Houston, TX 77030 USA","Houston","TX","USA",29.7604503632,-95.3697814941,26420,"Houston TX United States","old mapped address",3539,3738,0,"Texas",1383886,"Harris County",26420,"Houston-The Woodlands-Sugar Land, TX Metro Area"," "," "
15,"WOS:000259244300001",2008,"Univ Phoenix, Phoenix, AZ 85040 USA","Phoenix","AZ","USA",33.4482498169,-112.075798035,38060,"Phoenix AZ United States","old mapped address",4143,4151,0,"Arizona",37026,"Maricopa County",38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area"," "," "
16,"WOS:000304125300014",2012,"Univ Pittsburgh, Dept Hist & Philosophy Sci, Pittsburgh, PA USA","Pittsburgh","PA","USA",40.4383392334,-79.997467041,38300,"Pittsburgh PA United States","old mapped address",3124,3406,0,"Pennsylvania",1213657,"Allegheny County",38300,"Pittsburgh, PA Metro Area"," "," "
17,"WOS:000273632300008",2010,"NIAAA, Lab Mol Signaling, NIH, Bethesda, MD 20892 USA","Bethesda","MD","USA",38.9863700867,-77.0969161987,47900,"Bethesda MD United States","old mapped address",3029,3052,0,"Maryland",1712500,"Montgomery County",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"," "," "
18,"WOS:000287011400486",2011,"Emory Univ, Atlanta, GA 30322 USA","Atlanta","GA","USA",33.7483100891,-84.3911132813,12060,"Atlanta GA United States","old mapped address",3296,3307,0,"Georgia",1694833,"Fulton County",12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area"," "," "
19,"WOS:000286154600044",2011,"Wayne State Univ, Dept Psychol, Behav & Cognit Neurosci Program, Detroit, MI 48202 USA","Detroit","MI","USA",42.3316802979,-83.047996521,19820,"Detroit MI United States","old mapped address",3139,3246,0,"Michigan",1623022,"Wayne County",19820,"Detroit-Warren-Dearborn, MI Metro Area"," "," "
