"Source","Target","Id","duplicate","UMich","ASU","IUB","IUPUI"
"n0","n1","e5175",1,1,,,
"n0","n2","e237",1,1,1,,
"n0","n3","e231",1,1,,,
"n0","n4","e776",1,1,,1,
"n0","n5","e2",1,1,,,
"n0","n6","e176",1,1,,,
"n0","n7","e137",1,1,,,
"n0","n8","e1368",1,1,,,1
"n0","n9","e5",1,1,,,
"n0","n10","e298",1,1,,,
"n0","n11","e7",1,1,,,
"n0","n12","e8",1,1,,,
"n0","n13","e9",1,1,,,
"n0","n14","e10",1,1,,,
"n0","n15","e1205",1,1,,,
"n0","n16","e2131",1,1,,,
"n0","n17","e2137",1,1,,,
"n0","n18","e18",1,1,,,
"n0","n19","e19",1,1,,,
"n0","n20","e21",1,1,,,
"n0","n21","e22",1,1,,,
"n0","n22","e27",1,1,,,
"n0","n23","e30",1,1,,,
"n0","n24","e32",1,1,,,
"n0","n25","e33",1,1,,,
"n0","n26","e34",1,1,,,
"n0","n27","e36",1,1,,,
"n0","n28","e38",1,1,,,
"n0","n29","e39",1,1,,,
"n0","n30","e757",1,1,,,
"n0","n31","e42",1,1,,,
"n0","n32","e43",1,1,,,
"n0","n33","e44",2,1,,,
"n0","n34","e45",1,1,,,
"n0","n35","e46",1,1,,,
"n0","n36","e47",1,1,,,
"n0","n37","e76",1,1,,,
"n0","n38","e79",1,1,,,
"n0","n39","e80",1,1,,,
"n0","n40","e83",1,1,,,
"n0","n41","e85",1,1,,,
"n0","n42","e87",1,1,,,
"n0","n43","e92",1,1,,,
"n0","n44","e98",1,1,,,
"n0","n45","e99",1,1,,,
"n0","n46","e2633",1,1,,,
"n0","n47","e1768",1,1,,,
"n0","n48","e195",1,1,,,
"n0","n49","e243",1,1,,,
"n0","n50","e1008",1,1,,,
"n0","n52","e112",1,1,,,
"n0","n53","e115",1,1,,,
"n0","n54","e117",1,1,,,
"n0","n55","e121",1,1,,,
"n0","n56","e122",1,1,,,
"n0","n57","e2639",1,1,,,
"n0","n58","e3306",1,1,,,
"n0","n59","e1202",1,1,,,
"n0","n60","e596",1,1,,,
"n0","n61","e3222",1,1,,,
"n0","n62","e132",1,1,,,
"n0","n64","e485",1,1,,,
"n0","n65","e138",1,1,,,
"n0","n66","e139",1,1,,,
"n0","n67","e140",1,1,,,
"n0","n68","e7400",1,1,,,
"n0","n69","e152",1,1,,,
"n0","n70","e966",1,1,,,
"n0","n71","e25372",1,1,,,
"n0","n73","e448",1,1,,,
"n0","n74","e2123",1,1,,,
"n0","n75","e970",1,1,,,
"n0","n76","e778",1,1,,,
"n0","n77","e174",1,1,,,
"n0","n78","e968",1,1,,,
"n0","n79","e177",1,1,,,
"n0","n80","e579",1,1,,,
"n0","n81","e939",1,1,,,
"n0","n82","e2416",1,1,,,
"n0","n83","e6548",1,1,,,
"n0","n84","e963",1,1,,,
"n0","n85","e198",1,1,,,
"n0","n86","e199",1,1,,,
"n0","n87","e201",1,1,,,
"n0","n88","e202",1,1,,,
"n0","n89","e204",1,1,,,
"n0","n90","e206",1,1,,,
"n0","n91","e209",1,1,,,
"n0","n92","e211",1,1,,,
"n0","n93","e216",1,1,,,
"n0","n94","e222",1,1,,,
"n0","n95","e228",1,1,,,
"n0","n96","e233",1,1,,,
"n0","n97","e235",1,1,,,
"n0","n98","e244",1,1,,,
"n0","n99","e245",1,1,,,
"n0","n100","e1631",1,1,,,
"n0","n101","e1781",1,1,,,
"n0","n102","e2974",1,1,,,
"n0","n103","e19967",1,1,,,
"n0","n104","e264",1,1,,,
"n0","n105","e1683",1,1,,,
"n0","n106","e267",1,1,,,
"n0","n107","e268",1,1,,,
"n0","n108","e1353",1,1,,,
"n0","n109","e271",1,1,,,
"n0","n110","e869",1,1,,,
"n0","n111","e1498",1,1,,,
"n0","n112","e273",1,1,,,
"n0","n113","e274",1,1,,,
"n0","n114","e278",1,1,,,
"n0","n115","e279",1,1,,,
"n0","n116","e284",1,1,,,
"n0","n117","e285",1,1,,,
"n0","n118","e289",1,1,,,
"n0","n119","e753",1,1,,,
"n0","n120","e6200",1,1,,,
"n0","n121","e31102",1,1,,,
"n0","n122","e978",1,1,,,
"n0","n123","e22813",1,1,,,
"n0","n124","e359",1,1,,,
"n0","n125","e344",1,1,,,
"n0","n126","e360",1,1,,,
"n0","n127","e361",1,1,,,
