mass,city,country,city_rev
201693,Boston Ma United States,United States,Boston
197469,London England United Kingdom,United Kingdom,London
161707,Bethesda Md United States,United States,Bethesda
141790,Tokyo Tokyo Japan,Japan,Tokyo
137876,Paris Idf France,France,Paris
133510,Beijing Beijing China,China,Beijing
105411,Seoul Seoul South Korea,South Korea,Seoul
104059,Los Angeles Ca United States,United States,Los Angeles
103052,Chicago Il United States,United States,Chicago
94661,San Francisco Ca United States,United States,San Francisco
94371,Moscow Moscow City Russia,Russia,Moscow
91163,Philadelphia Pa United States,United States,Philadelphia
76836,Toronto On Canada,Canada,Toronto
74546,Baltimore Md United States,United States,Baltimore
72002,Houston Tx United States,United States,Houston
71624,Madrid Community Of Madrid Spain,Spain,Madrid
68939,Shanghai China,China,Shanghai
66946,Hawthorn Vic Australia,Australia,Hawthorn
66772,Melbourne Vic Australia,Australia,Melbourne
64983,Be Germany,Germany,Berlin
62122,Montreal Qc Canada,Canada,Montreal
61728,Taipei City Taiwan,Taiwan,Taipei
61550,Nan Kang District Taiwan,Taiwan,Nan Kang
60804,Atlanta Ga United States,United States,Atlanta
60069,Seattle Wa United States,United States,Seattle
59458,Osaka Osaka Japan,Japan,Osaka
58759,Hong Kong Hong Kong Hong Kong Sar,China,Hong Kong
58574,Rome Laz. Italy,Italy,Rome
58014,Barcelona Catalonia Spain,Spain,Barcelona
57997,Sydney Nsw Australia,Australia,Sydney
55292,Santa Clara Co. Ca United States,United States,Santa Clara 
53469,Pittsburgh Pa United States,United States,Pittsburgh
53061,Cambridge England United Kingdom,United Kingdom,Cambridge
51535,Singapore Singapore,Singapore,Singapore
50923,Milan Lomb. Italy,Italy,Milan
50482,Oxford England United Kingdom,United Kingdom,Oxford
49746,Kyoto Japan,Japan,Kyoto
49082,Munich By Germany,Germany,Munich
46737,Stockholm Stockholm County Sweden,Sweden,Stockholm
46001,Minneapolis Mn United States,United States,Minneapolis
45976,Amsterdam North Holland Netherlands,Netherlands,Amsterdam
44773,Laxenburg Lower Austria Austria,Austria,Laxenburg
44553,Vienna Austria,Austria,Vienna
44488,Vancouver Bc Canada,Canada,Vancouver
40829,St Louis Mo United States,United States,St Louis
37766,Copenhagen Capital Region Denmark,Denmark,Copenhagen
44186,Sao Paulo Sp Brazil,Brazil,Sao Paulo 
43215,Zurich Zh Switzerland,Switzerland,Zurich
41485,Cleveland Oh United States,United States,Cleveland
40192,Madison Wi United States,United States,Madison
38768,Ankara Ankara Turkey,Turkey,Ankara
37438,Athens Attica Greece,Greece,Athens
37035,New Haven Ct United States,United States,New Haven 
