city,Biology,Biotechnology,Brain Research,"Chemical, Mechanical, & Civil Engineering",Chemistry,Earth Sciences,Electrical Engineering & Computer Science,Health Professionals,Humanities,Infectious Diseases,Math & Physics,Medical Specialties,Social Sciences
Oxford England United Kingdom,2291.3775989444002,572.0172708331,1372.0446176856003,975.7739045522001,1842.1321126751998,1081.1721756054,762.457237886,1582.4763087935,843.0,3205.5472270783,4975.8232520738,3644.4291272873998,3493.7491666661995
Munich By Germany,4.0,2.0,12.0,1.0,2.0,0.0,2.0,5.0,2.0,13.0,9.0,32.0,13.0
Minneapolis Mn United States,19669.6424889507,5124.309315403599,21277.677635724198,9068.167991817001,14434.077413342695,5032.20532452,5352.617991805,34332.098951479,5605.0,23367.910298643805,12970.734243761002,68228.7675125665,21102.7908333162
Sao Paulo Sp Brazil,3762.5760314386002,1501.2866107917998,4118.404892583099,1884.8162601623,3085.5814948081,771.4963414676,1077.18292683,4790.353779371,1343.0,3249.8568433895007,3136.8219936008,7870.126158847899,3155.4966666647997
Philadelphia Pa United States,27436.204304372382,16592.588388172204,62466.65138130468,13977.1987964172,31357.876427129413,4742.429427446899,11826.39879641,79340.01933936299,13877.0,56123.37884843421,20509.015512992606,214229.95544769763,40599.28333328701
London England United Kingdom,2440.6109096471,450.6343112338,2024.0750601430002,3243.8486273932003,2215.4522157426,802.1901357014001,2845.3319607249996,5403.011164362002,914.0,1559.0287907191996,3393.2436092427993,13257.2015479301,3874.3716666547994
Cleveland Oh United States,4887.5768434848,4025.7569915136996,25833.266375332794,6570.0685461105,6693.156801736701,874.4277375045001,3213.3685461099994,26140.030366034494,2653.0,18633.7156400533,4063.3890248002,111579.230628699,7269.0124999770005
Nan Kang District Taiwan,1.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
Osaka Osaka Japan,5204.3075737089,3549.6540432366,10164.2091793654,11562.928164931001,13358.6924793516,2039.0570557609997,6047.611498259001,10785.389831483999,2016.0,8471.6990827958,13658.062019343399,28530.144905100602,6812.2441666633995
Hong Kong Hong Kong Hong Kong Sar,8302.9620942457,4783.386866659401,16220.190833073304,21779.999509056,22732.494804167603,5638.739196050499,18241.649509036,20285.695186829,2111.0,12366.920128906999,23168.159497602002,42853.68070660629,25355.121666634797
Seattle Wa United States,20880.560467428106,10215.765420825297,32719.69115260109,7806.1665031096,10514.249233723604,13075.5075106227,9425.716503103,51970.2617582365,4836.0,44699.554929542086,15569.941519058402,118468.33333625592,19911.251666592598
Paris Idf France,31.8329114684,19.658684177200005,31.7963816337,22.037377257,12.5773480933,16.099382326,6.037377257,46.403188681,0.0,77.5418147583,85.565694853,131.4231728346,23.0266666666
Los Angeles Ca United States,35201.6395631628,15693.287524705904,78746.20652613581,25007.388454428085,32884.4280125809,26339.07173921871,27084.338454429,81964.1358250925,19625.0,57360.466390917005,74871.85985002576,227415.68433394717,53284.49333328459
Kyoto Japan,3084.4716088334003,3477.3548763109,5686.3421610856,7379.3409407705,8283.676762855299,1923.5315621784996,3501.790940771,6737.5887308745,963.0,4896.3223536144005,8974.5539599062,22193.924436043402,6609.1016666636
Madrid Community Of Madrid Spain,366.891989015,108.0744012884,235.63027476020002,150.1650195338,197.6896781935,90.0648294826,81.098352867,269.10655058,49.0,330.4007625563,194.69554857560001,548.1559264929999,338.0266666666
Copenhagen Capital Region Denmark,36.1225654224,15.585148004799999,94.4365679946,3.6,26.317348776800003,3.2,5.0,81.962162159,0.0,36.216293434899995,0.1016731016,151.37824109170003,18.079999999800002
Be Germany,5.266955267199999,12.205627705800001,18.1760461762,11.012987013,18.103896104,2.12987013,6.012987013,48.038961039,0.0,25.463203463600003,59.090909091,79.498556999,11.0
Madison Wi United States,60149.1215495193,29704.156849947492,166350.77699808351,23986.635492917885,55200.87215443591,25660.64984730781,39440.385492888,162219.81369718953,44971.0,114166.0182055377,81465.70456313132,486042.0493278447,99634.81583315018
Atlanta Ga United States,16777.665125622603,6739.849622723002,27591.053086657303,14464.372943763401,19476.765499552195,4416.2044375513005,10686.889610425998,43286.948672177,5904.0,44599.70833018089,14097.876565083596,95897.38693609167,23780.279166607997
Vienna Austria,33.0,8.0,18.0,17.0,16.0,3.0,18.0,17.0,0.0,8.0,14.0,9.0,19.0
Tokyo Tokyo Japan,2357.5028366774995,1673.707091724,4047.9557962822,4445.8321718958005,8233.195798707697,1481.9871661070997,5099.165505229,1817.5826450999998,94.0,2340.0806925320007,12711.883440074605,5217.555189219498,1557.5516666656001
St Louis Mo United States,19669.642488950707,5124.309315403599,21277.6776357242,9068.167991817,14434.077413342698,5032.20532452,5352.617991805,34332.098951479,5605.0,23367.910298643797,12970.734243761,68228.76751256651,21102.7908333162
Toronto On Canada,15369.277430611204,6747.029246781299,52141.87690387479,15613.0344367884,17005.282636467902,13752.373026133804,15064.717770097,56069.03253466549,13319.0,28250.389558428007,20775.380246532404,125758.05455003829,32978.5516666656
Taipei City Taiwan,12.846341464299996,10.5487804884,26.4065040656,204.8121951221,99.7886178866,1.2764227647000002,121.01219512200001,54.048780488,1.0,39.1097560988,98.085365854,128.065040652,177.0
Athens Attica Greece,69.0,2.0,5.0,8.5,1.5,2.0,3.0,14.0,0.0,4.0,7.0,80.0,2.0
Hawthorn Vic Australia,121.8403892423,122.340758037,525.9858486484,1102.3543712404999,794.6741903432,83.65936280550001,749.60437124,550.9448732230001,64.0,217.7279149262,2241.8872910864,285.2397959773,916.7408333332
Cambridge England United Kingdom,221.9916573438,430.42752682279996,126.27850767879998,26.2957977003,61.881449562200004,43.913261554600005,14.962464366999999,107.486275215,5.0,385.87405948900005,21.6227074536,580.0254596146001,36.2408333332
New Haven Ct United States,7872.8648976875,5894.154531725098,10017.6959251367,7149.5429099547,8009.160366034999,3635.1965791984007,9931.976243286003,15075.9868129925,5571.0,11283.839152332497,6468.138722203999,38166.0413559491,15032.4024999754
Shanghai China,15.811111111199999,14.1666666668,47.1111111107,94.1,49.5,2.2,15.0,15.0,1.0,14.833333333599999,36.0,59.277777778,10.0
Beijing Beijing China,87.281081081,30.081081081,29.108108108,180.1,144.60810810759997,39.2,58.0,31.0,1.0,46.216216216,87.027027027,106.378378378,17.0
Laxenburg Lower Austria Austria,0.081081081,0.081081081,0.108108108,0.0,0.108108108,0.0,0.0,0.0,0.0,0.21621621600000002,0.027027027,2.378378378,0.0
Montreal Qc Canada,11498.045142413303,9623.180880707398,29587.538446406114,17651.9693274543,18094.038794014705,7348.920916515099,12737.802660757003,26847.905902432,7486.0,20627.213349077505,15574.123129751799,68390.57228201929,20997.6891666226
San Francisco Ca United States,40510.527442012804,19720.273451346307,53275.045398920614,24373.26046379088,41085.06571209439,18405.267442508808,15462.577130453006,63278.957774733484,8997.0,60956.39910809001,68080.88901203178,164956.4470754967,30388.289999942397
Melbourne Vic Australia,26421.157021496612,7764.563905820005,38835.1919051045,25369.234769365798,26080.334557390906,11730.229806937603,11618.568102645002,51499.342351296,10637.0,26621.12872566711,14567.033024792003,95970.6233286272,42540.5924999618
Houston Tx United States,50580.28450188597,18941.783571583397,57267.10635463607,39275.99337991877,36311.72109610821,31783.128514496613,24949.693379919005,85394.82134636602,28810.0,76681.87099898163,51379.57309311057,173619.9312703177,89847.09249991179
Ankara Ankara Turkey,2.280844156,4.163961039,8.064935065,2.262987013,16.228896104,3.25487013,42.012987013,41.038961039,1.0,4.1298701300000005,52.090909091,76.345779221,43.125
Santa Clara Co. Ca United States,10270.059950254206,7455.461675307398,20625.523424630202,15657.378529256799,16126.905743971698,9056.019641997103,16629.161862575,22643.425336944005,9378.0,23134.456815855596,21186.062896319403,54661.689120489136,22394.854999993797
Rome Laz. Italy,5.818498584,6.887551475999999,38.6906345733,9.234874882,53.244852716,5.16582199,16.234874882,16.887551476,0.0,15.4991553233,258.644124174,44.6920599873,14.0
